cluster_final,size,share,suggested_name,top_macro_tags,top_raw_tags,top_ctfidf_terms,year_min,year_max,central_example_id,central_example_preview
10,219,0.039753131239789435,animals | literature_folklore_characters | everyday_life | media_popculture,animals | literature_folklore_characters | everyday_life | media_popculture,кошки | Шерлок Холмс | собаки | соседи | о жизни,ватсон | кота | холмс | кот | собака | владелец | шерлок | кошку,1996,2025,456949,"Кролик хотел узнать удава поближе. Теперь, он знает его изнутри."
11,215,0.03902704665093484,religion_holidays | media_popculture | everyday_life | absurd_philosophy,religion_holidays | media_popculture | everyday_life | absurd_philosophy,новогодний | Дед Мороз | погода | коронавирус | тв,мороз | дед | год | новый | января | санта | году | мороза,1997,2026,1137947,- Что ты попросишь у Деда Мороза в новом 2021 году? - Пощады!
12,198,0.03594118714830278,it_internet | work_professions | everyday_life | army_police,it_internet | work_professions | everyday_life | army_police,windows | программист | работа | мобильный | интернет,windows | юзер | программист | менеджер | сисадмин | фсб | компьютер | нажмите,1996,2026,-9956986,"Советы служащим по правильному использованию ценного времени Системного Администратора. - Никогда не записывайте сообщения об ошибках. Просто нажмите ""ОК"" или перезапустите компьютер. СисАдмин любит угадывать, каким было сообщение об ошибке. - Когда говорите о своем компьютере, используйте такие те…"
13,198,0.03594118714830278,alcohol_smoking_drugs | food_diet | sex_gender | science_space,alcohol_smoking_drugs | food_diet | sex_gender | science_space,водка | сигареты | диета | британские ученые | о жизни,британские | курить | водки | ученые | водка | таблетки | сигарет | граммов,1997,2026,626622,"Здоровое питание - это когда обязательно фильтруешь воду из-под крана перед тем, как заварить ""Доширак""."
14,173,0.03140315846796152,education_children | literature_folklore_characters | it_internet | sex_gender,education_children | literature_folklore_characters | it_internet | sex_gender,дети | школа | интернет | русский язык | о жизни,ребенок | ребенка | школу | родители | сына | школе | дети | сын,1997,2025,795423,"Раньше родительских собраний боялись дети, а теперь родители."
15,165,0.029950989290252316,law_crime | army_police | transport | sex_gender,law_crime | army_police | transport | sex_gender,гаи | милиция | таможня | наркотики | авто,гаишник | водитель | гибдд | останавливает | мент | машину | милиция | гаишники,1996,2024,-82700002,"Пост ГАИ (ГИБДД). Мимо несется 600-й. Скорость за 200. Гаишник выбегает, машет жезлом, свистит, 600-й - ноль внимания. ГАИшник передает по рации на следующий пост. Снова свисток, снова взмахи жезлом, снова - ноль внимания. Снова - по рации на следующий пост. Так повторяется много раз. Наконец, на 2…"
16,139,0.025231439462697403,sport | literature_folklore_characters | politics_power | textual_forms,sport | literature_folklore_characters | politics_power | textual_forms,спорт | футбол | Сочи 2014 | хоккей | русский язык,футболу | сборной | матча | судья | футбол | мира | сочи | поле,1998,2025,319664,"Бездарная сборная России по футболу попала на Чемпионат Европы исключительно благодаря блестящей игре сборной Хорватии. Удивительно, но прекрасным сборным Израиля, Македонии, Эстонии и Андорры блестящая игра сборной Хорватии не помогла."
17,138,0.025049918315483755,media_popculture | literature_folklore_characters | politics_power | sex_gender,media_popculture | literature_folklore_characters | politics_power | sex_gender,звёзды | Штирлиц | фильмы | тв | кино,штирлиц | филипп | фильм | блядь | киркоров | киркорова | фильма | гарри,1997,2023,491693,- Как уже достали эти фильмы со спецэффектами в главной роли!
18,120,0.021782537665638046,transport | science_space | army_police | literature_folklore_characters,transport | science_space | army_police | literature_folklore_characters,авиация | парашют | космос | армия | Брежнев,самолет | самолете | пилот | самолета | стюардесса | летит | командир | парашютом,1996,2025,359276,"Летит самолет. Из кабины выходит командир с парашютом за спиной, и с грустным видом идет по салону. Пассажиры, волнуясь, спрашивают: - Что случилось, командир? Он в ответ только вздыхает. Доходит до хвоста и открывает люк. Последний пассажир спрашивает: - Да что же случилось?! А командир вздохнул и…"
19,113,0.020511889635142493,literature_folklore_characters | politics_power | work_professions | cities_places,literature_folklore_characters | politics_power | work_professions | cities_places,Рабинович | армянское радио | работа | Одесса | Абрамович,рабинович | армянское | рабиновича | радио | сы | бизнесмен | штук | фамилия,1996,2025,1352941,"Рабинович обращается к врачу: - Двадцать тысяч гривен за операцию? Но ведь это очень дорого! - А вот идёт мой коллега Либерзон, который не возьмёт с вас ни копейки! - Как, неужели он таки делает операции бесплатно? - Да, ему обычно платят наследники."
